排名,球员姓名,位置,球队,综合mu,综合sigma,综合保守评分,国家队_mu,国家队_sigma,俱乐部_mu,俱乐部_sigma,总出场
297,Alexander Bernhardsson,FW,SWE,24.38,4.4,11.18,17.84,7.53,28.74,5.34,8
298,Wagner Pina,DF,CPV,23.93,4.27,11.12,19.23,7.03,27.07,5.35,5
299,Ismaël Gharbi,MF,TUN,27.07,5.32,11.11,27.07,5.32,,,10
300,Ngal'ayel Mukau,MF,COD,23.71,4.2,11.11,17.73,6.92,27.69,5.26,7
301,Marco Friedl,DF,AUT,27.0,5.3,11.1,27.0,5.3,,,6
302,Malo Gusto,DF,FRA,27.31,5.41,11.08,27.31,5.41,,,8
303,Alisson,GK,BRA,27.81,5.58,11.07,27.81,5.58,,,11
304,Maxence Lacroix,DF,FRA,27.25,5.4,11.05,27.25,5.4,,,4
305,Théo Bongonda,FW,COD,26.56,5.17,11.05,26.56,5.17,,,10
306,Youssef Amyn,MF,IRQ,26.77,5.25,11.02,26.77,5.25,,,21
307,Ozan Kabak,DF,TUR,23.62,4.22,10.96,17.73,6.92,27.54,5.31,4
308,Miro Muheim,DF,SUI,27.39,5.49,10.92,27.39,5.49,,,7
309,Tim Payne,DF,NZL,26.33,5.14,10.91,26.33,5.14,,,7
310,Aurèle Amenda,DF,SUI,26.37,5.17,10.86,26.37,5.17,,,3
311,Keisuke Gotō,FW,JPN,27.09,5.41,10.86,27.09,5.41,,,4
312,Ihsan Haddad (captain),DF,JOR,26.12,5.1,10.82,26.12,5.1,,,15
313,Pavel Šulc,FW,CZE,26.82,5.35,10.77,26.82,5.35,,,10
314,Danilo Santos,MF,BRA,28.56,5.93,10.77,28.56,5.93,,,4
315,Wilson Isidor,FW,HAI,24.93,4.72,10.77,25.98,5.32,24.23,7.03,4
316,Ismail Jakobs,DF,SEN,26.54,5.27,10.73,26.54,5.27,,,5
317,Nathan Patterson,DF,SCO,26.46,5.25,10.71,26.46,5.25,,,3
318,Dominic Hyam,DF,SCO,22.19,3.83,10.7,21.4,5.29,22.72,5.33,3
319,Félix Torres,DF,ECU,26.08,5.13,10.69,26.08,5.13,,,18
320,Alexis Vega,FW,MEX,26.61,5.31,10.68,26.61,5.31,,,4
321,Ali Al-Hamadi,FW,IRQ,27.19,5.52,10.63,27.19,5.52,,,10
322,Pedro Vite,MF,ECU,25.51,4.97,10.6,29.51,5.19,22.84,7.53,47
323,Kevin Castaño,MF,COL,26.14,5.18,10.6,26.14,5.18,,,11
324,Matias Fernandez-Pardo,FW,BEL,27.48,5.63,10.59,27.48,5.63,,,2
325,Farès Chaïbi,MF,ALG,26.76,5.39,10.59,26.76,5.39,,,10
326,Fabián Ruiz,MF,ESP,26.36,5.26,10.58,26.36,5.26,,,3
327,Noa Lang,FW,NED,26.96,5.47,10.55,26.96,5.47,,,2
328,Juan Fernando Quintero,MF,COL,26.83,5.43,10.54,26.83,5.43,,,10
329,Marvin Keller,GK,SUI,26.34,5.28,10.5,26.34,5.28,,,1
330,Djibril Sow,MF,SUI,26.33,5.28,10.49,26.33,5.28,,,7
331,Cyle Larin,FW,CAN,23.13,4.22,10.47,14.23,7.03,29.06,5.25,3
332,Connor Metcalfe,MF,AUS,26.72,5.42,10.46,26.72,5.42,,,13
333,Ibrahim Sangaré,MF,CIV,26.09,5.21,10.46,26.82,7.34,25.6,7.17,9
334,Aubrey Modiba,DF,RSA,22.02,3.86,10.44,23.48,5.13,21.05,5.44,9
335,Thomas Meunier,DF,BEL,26.04,5.2,10.44,26.04,5.2,,,11
336,Ayoub El Kaabi,FW,MAR,27.01,5.53,10.42,27.01,5.53,,,9
337,Obed Vargas,MF,MEX,25.77,5.12,10.41,25.77,5.12,,,4
338,Marko Stamenić,MF,NZL,26.38,5.34,10.36,26.38,5.34,,,9
339,Jhon Arias,MF,COL,24.63,4.77,10.32,30.67,5.16,20.6,7.17,21
340,Noah Okafor,FW,SUI,27.1,5.6,10.3,27.1,5.6,,,1
341,Lucas Digne,DF,FRA,25.85,5.19,10.28,25.85,5.19,,,6
342,Samú Costa,MF,POR,25.8,5.18,10.26,25.8,5.18,,,3
343,Kim Jin-gyu,MF,KOR,26.06,5.27,10.25,26.06,5.27,,,5
344,Ramy Bensebaini,DF,ALG,25.47,5.08,10.23,25.47,5.08,,,8
345,Brian Gutiérrez,MF,MEX,25.92,5.24,10.2,25.92,5.24,,,7
346,Ibrahim Adel,FW,EGY,25.65,5.15,10.2,25.65,5.15,,,8
347,Alistair Johnston,DF,CAN,25.88,5.23,10.19,25.88,5.23,,,2
348,Marc Pubill,DF,ESP,27.51,5.78,10.17,27.51,5.78,,,2
349,Christ Inao Oulaï,MF,CIV,26.62,5.49,10.15,26.62,5.49,,,3
350,Brandon Mechele,DF,BEL,25.41,5.09,10.14,25.41,5.09,,,5
351,Uğurcan Çakır,GK,TUR,26.33,5.4,10.13,26.33,5.4,,,8
352,Andrés Gómez,FW,COL,26.0,5.29,10.13,26.0,5.29,,,6
353,Ali Alipour,FW,IRN,25.75,5.21,10.12,25.75,5.21,,,7
354,Deniz Gül,FW,TUR,22.95,4.28,10.11,20.6,7.17,24.52,5.3,5
355,Evann Guessand,FW,CIV,25.6,5.17,10.09,25.6,7.17,25.6,7.17,8
356,Assane Diao,FW,SEN,25.6,5.17,10.09,25.6,7.17,25.6,7.17,5
357,Lukáš Horníček,GK,CZE,26.39,5.44,10.07,26.39,5.44,,,1
358,Gonzalo Valle,GK,ECU,21.82,3.92,10.06,21.93,5.2,21.75,5.53,4
359,Nestory Irankunda,FW,AUS,26.88,5.61,10.05,26.88,5.61,,,9
360,Chris Richards,DF,USA,26.44,5.47,10.03,26.44,5.47,,,1
361,Kō Itakura,DF,JPN,25.9,5.29,10.03,25.9,5.29,,,13
362,Giorgian de Arrascaeta,MF,URU,26.29,5.42,10.03,26.29,5.42,,,10
363,Lukáš Provod,MF,CZE,26.78,5.59,10.01,26.78,5.59,,,10
364,Timothy Castagne,DF,BEL,25.85,5.28,10.01,25.85,5.28,,,9
365,Ali Ahmed,MF,CAN,25.85,5.29,9.98,25.85,5.29,,,2
366,Merchas Doski,DF,IRQ,24.95,4.99,9.98,24.95,4.99,,,19
367,Jordy Caicedo,FW,ECU,25.45,5.17,9.94,25.45,5.17,,,5
368,Jackson Porozo,DF,ECU,25.6,5.24,9.88,25.6,5.24,,,2
