排名,球员姓名,位置,球队,综合mu,综合sigma,综合保守评分,国家队_mu,国家队_sigma,俱乐部_mu,俱乐部_sigma,总出场
524,Kristian Thorstvedt,MF,NOR,23.55,5.33,7.56,23.55,5.33,,,6
525,Haissem Hassan,FW,EGY,23.53,5.33,7.54,23.53,5.33,,,4
526,Lee Dong-gyeong,MF,KOR,23.67,5.38,7.53,23.67,5.38,,,4
527,Gonçalo Guedes,FW,POR,21.36,4.61,7.53,26.8,5.02,17.73,6.92,2
528,Saleh Al-Shehri,FW,KSA,23.67,5.39,7.5,23.67,5.39,,,17
529,Nicolas Pépé,FW,CIV,23.48,5.33,7.49,23.48,5.33,,,8
530,Duje Ćaleta-Car,DF,CRO,23.35,5.29,7.48,23.35,5.29,,,7
531,Alan Franco,MF,ECU,21.46,4.67,7.45,27.06,5.32,17.73,6.92,16
532,Derrick Etienne Jr.,FW,HAI,20.43,4.33,7.44,11.82,7.34,26.17,5.3,6
533,Mohamed Hany,DF,EGY,23.51,5.36,7.43,23.51,5.36,,,13
534,Álvaro Montero,GK,COL,20.57,4.38,7.43,14.23,7.03,24.79,5.59,4
535,Dominik Livaković,GK,CRO,23.24,5.27,7.43,23.24,5.27,,,11
536,Elias Achouri,FW,TUN,23.65,5.42,7.39,23.65,5.42,,,7
537,Salim Obaid,DF,JOR,22.93,5.19,7.36,22.93,5.19,,,7
538,Yang Hyun-jun,MF,KOR,21.3,4.65,7.35,26.65,5.22,17.73,6.92,6
539,Moteb Al-Harbi,DF,KSA,23.37,5.35,7.32,23.37,5.35,,,7
540,Silvan Widmer,DF,SUI,22.98,5.23,7.29,22.98,5.23,,,10
541,Kevin Yakob,MF,IRQ,22.58,5.1,7.28,22.58,5.1,,,8
542,Christian Fassnacht,MF,SUI,20.16,4.3,7.26,16.82,7.34,22.38,5.23,4
543,Wataru Endo (captain),MF,JPN,24.27,5.67,7.26,24.27,5.67,,,13
544,Nikola Moro,MF,CRO,22.99,5.25,7.24,22.99,5.25,,,7
545,Findlay Curtis,MF,SCO,22.76,5.18,7.22,22.76,5.18,,,3
546,Ben Old,MF,NZL,22.99,5.29,7.12,22.99,5.29,,,5
547,Kosta Barbarouses,FW,NZL,22.79,5.24,7.07,22.79,5.24,,,8
548,Frans Putros,DF,IRQ,22.65,5.22,6.99,22.65,5.22,,,11
549,Laros Duarte,MF,CPV,23.03,5.35,6.98,23.03,5.35,,,8
550,Nico Schlotterbeck,DF,GER,27.73,6.92,6.97,27.73,6.92,,,7
551,Maximilian Beier,FW,GER,27.73,6.92,6.97,27.73,6.92,,,5
552,Rodri (captain),MF,ESP,27.73,6.92,6.97,27.73,6.92,,,5
553,Martín Zubimendi,MF,ESP,27.73,6.92,6.97,27.73,6.92,,,7
554,Álex Baena,MF,ESP,27.73,6.92,6.97,27.73,6.92,,,7
555,Aurélien Tchouaméni,MF,FRA,27.73,6.92,6.97,27.73,6.92,,,5
556,Maghnes Akliouche,FW,FRA,27.73,6.92,6.97,27.73,6.92,,,9
557,Pape Gueye,MF,SEN,27.73,6.92,6.97,27.73,6.92,,,7
558,Julián Alvarez,FW,ARG,27.73,6.92,6.97,27.73,6.92,,,20
559,Rayan Aït-Nouri,DF,ALG,27.73,6.92,6.97,27.73,6.92,,,8
560,Francisco Trincão,FW,POR,27.73,6.92,6.97,27.73,6.92,,,6
561,Joško Gvardiol,DF,CRO,27.73,6.92,6.97,27.73,6.92,,,7
562,Danley Jean Jacques,MF,HAI,23.59,5.58,6.85,23.59,5.58,,,12
563,Arthur Masuaku,DF,COD,22.12,5.1,6.82,22.12,5.1,,,9
564,Sead Kolašinac,DF,BIH,22.74,5.31,6.81,22.74,5.31,,,5
565,Teboho Mokoena,MF,RSA,22.72,5.32,6.76,22.72,5.32,,,11
566,Alireza Jahanbakhsh,MF,IRN,22.65,5.3,6.75,22.65,5.3,,,15
567,Farrukh Sayfiev,DF,UZB,21.98,5.08,6.74,21.98,5.08,,,14
568,Ali Nemati,DF,IRN,22.72,5.34,6.7,22.72,5.34,,,15
569,Luis Romo,MF,MEX,22.89,5.42,6.63,22.89,5.42,,,5
570,Saed Al-Rosan,DF,JOR,22.56,5.31,6.63,22.56,5.31,,,9
571,Tomás Rodríguez,FW,PAN,22.92,5.45,6.57,22.92,5.45,,,5
572,Mohammad Abu Hashish,DF,JOR,22.63,5.36,6.55,22.63,5.36,,,17
573,Johan Mojica,DF,COL,22.36,5.27,6.55,22.36,5.27,,,12
574,Emil Holm,DF,SWE,22.21,5.23,6.52,22.21,5.23,,,3
575,Deroy Duarte,MF,CPV,22.83,5.44,6.51,22.83,5.44,,,9
576,Jaroslav Zelený,DF,CZE,22.28,5.26,6.5,22.28,5.26,,,10
577,Samukele Kabini,DF,RSA,22.48,5.34,6.46,22.48,5.34,,,3
578,Gaël Kakuta,MF,COD,21.73,5.09,6.46,21.73,5.09,,,5
579,Khulumani Ndamane,DF,RSA,22.53,5.36,6.45,22.53,5.36,,,3
580,İrfan Can Kahveci,FW,TUR,22.17,5.24,6.45,22.17,5.24,,,6
581,Niko Sigur,DF,CAN,22.76,5.45,6.41,22.76,5.45,,,4
582,Ali Yousif,FW,IRQ,21.76,5.12,6.4,21.76,5.12,,,4
583,Jamiro Monteiro,MF,CPV,19.59,4.4,6.39,13.64,7.74,23.56,5.21,11
584,Ángelo Preciado,DF,ECU,22.05,5.24,6.33,22.05,5.24,,,17
585,Bamba Dieng,FW,SEN,20.25,4.64,6.33,24.04,5.19,17.73,6.92,3
586,Adil Boulbina,FW,ALG,22.67,5.47,6.26,22.67,5.47,,,6
587,Ismael Díaz,FW,PAN,21.53,5.09,6.26,25.86,5.22,18.64,7.74,42
588,Assim Madibo,MF,QAT,21.63,5.13,6.24,21.63,5.13,,,7
589,Kelvin Pires,DF,CPV,22.37,5.38,6.23,22.37,5.38,,,2
590,Yassine Bounou,GK,MAR,21.91,5.23,6.22,21.91,5.23,,,11
591,Keisuke Ōsako,GK,JPN,22.0,5.26,6.22,22.0,5.26,,,3
592,Hossam Abdelmaguid,DF,EGY,22.03,5.27,6.22,22.03,5.27,,,5
593,Olwethu Makhanya,DF,RSA,22.0,5.27,6.19,22.0,5.27,,,1
594,Willy Semedo,FW,CPV,22.14,5.32,6.18,22.14,5.32,,,12
595,Ivan Bašić,MF,BIH,21.91,5.25,6.16,21.91,5.25,,,8
596,Moutaz Neffati,DF,TUN,22.36,5.41,6.13,22.36,5.41,,,5
597,Alban Lafont,GK,CIV,21.71,5.2,6.11,21.71,5.2,,,2
598,Mehdi Torabi,MF,IRN,22.04,5.31,6.11,22.04,5.31,,,5
599,Ziyad Al-Johani,MF,KSA,21.83,5.24,6.11,21.83,5.24,,,7
600,Mohammad Ghorbani,MF,IRN,22.02,5.33,6.03,22.02,5.33,,,11
601,Chris Brady,GK,USA,21.68,5.24,5.96,21.68,5.24,,,1
602,Benjamin Nygren,FW,SWE,21.82,5.29,5.95,21.82,7.34,21.82,7.34,7
603,Alexandr Sojka,MF,CZE,21.43,5.17,5.92,21.43,5.17,,,2
604,Tomáš Holeš,DF,CZE,21.86,5.32,5.9,21.86,5.32,,,7
605,Matt Turner,GK,USA,21.58,5.23,5.89,21.58,5.23,,,2
606,Eom Ji-sung,MF,KOR,19.11,4.41,5.88,16.82,7.34,20.63,5.48,5
607,Martin Expérience,DF,HAI,21.6,5.25,5.85,21.6,5.25,,,8
608,Hernán Galíndez,GK,ECU,21.57,5.24,5.85,21.57,5.24,,,14
609,Juan Manuel Sanabria,MF,URU,21.99,5.38,5.85,21.99,5.38,,,2
610,Hussein Ali,DF,IRQ,21.57,5.24,5.85,21.57,5.24,,,21
611,Riechedly Bazoer,DF,CUW,21.92,5.36,5.84,21.92,5.36,,,4
612,Rajaei Ayed,MF,JOR,22.3,5.49,5.83,22.3,5.49,,,14
613,Thabang Matuludi,DF,RSA,21.48,5.22,5.82,21.48,5.22,,,2
614,N'Golo Kanté,MF,FRA,22.04,5.41,5.81,22.04,5.41,,,5
615,Florian Wiegele,GK,AUT,21.77,5.32,5.81,21.77,5.32,,,1
616,Liberato Cacace,DF,NZL,20.1,4.77,5.79,26.85,5.18,15.6,7.17,7
617,Ao Tanaka,MF,JPN,21.5,5.25,5.75,22.84,7.53,20.6,7.17,15
618,Mohammed Muntari,FW,QAT,21.36,5.21,5.73,21.36,5.21,,,8
619,Steve Kapuadi,DF,COD,21.67,5.32,5.71,21.67,5.32,,,1
620,Patrick Pentz,GK,AUT,21.54,5.28,5.7,21.54,5.28,,,4
621,Ben Waine,FW,NZL,18.82,4.38,5.68,12.84,7.53,22.8,5.29,7
622,Jan Paul van Hecke,DF,NED,26.13,6.83,5.64,26.13,6.83,,,8
623,Dani Olmo,FW,ESP,26.13,6.83,5.64,26.13,6.83,,,6
624,Alaa Al-Hejji,MF,KSA,21.63,5.33,5.64,21.63,5.33,,,3
625,Nicolas Jackson,FW,SEN,26.13,6.83,5.64,26.13,6.83,,,10
626,Nuno Mendes,DF,POR,26.13,6.83,5.64,26.13,6.83,,,6
627,Reece James,DF,ENG,26.13,6.83,5.64,26.13,6.83,,,7
628,Tino Livramento,DF,ENG,26.13,6.83,5.64,26.13,6.83,,,5
629,Rouzbeh Cheshmi,MF,IRN,21.06,5.16,5.58,21.06,5.16,,,7
630,Alex Sandro,DF,BRA,21.41,5.28,5.57,21.41,5.28,,,4
631,John McGinn,MF,SCO,21.33,5.26,5.55,20.6,7.17,21.82,7.34,9
632,Lewis Ferguson,MF,SCO,21.33,5.26,5.55,20.6,7.17,21.82,7.34,8
633,Payam Niazmand,GK,IRN,21.54,5.33,5.55,21.54,5.33,,,6
634,Jo Hyeon-woo,GK,KOR,21.28,5.27,5.47,21.28,5.27,,,15
635,Saud Abdulhamid,DF,KSA,21.09,5.21,5.46,21.82,7.34,20.6,7.17,18
636,Emiliano Martínez,MF,URU,21.4,5.32,5.44,19.23,7.03,22.84,7.53,75
637,José Sá,GK,POR,21.36,5.31,5.43,21.36,5.31,,,2
638,Jindřich Staněk,GK,CZE,21.31,5.32,5.35,21.31,5.32,,,1
639,Dennis Hadžikadunić,DF,BIH,21.37,5.34,5.35,21.37,5.34,,,2
640,Ayman Yahya,FW,KSA,21.94,5.54,5.32,21.94,5.54,,,14
641,Boualem Khoukhi,DF,QAT,21.75,5.48,5.31,21.75,5.48,,,11
642,Kaan Ayhan,MF,TUR,21.18,5.29,5.31,21.18,5.29,,,2
643,Zaid Ismail,MF,IRQ,21.21,5.32,5.25,21.21,5.32,,,6
644,Jovo Lukić,FW,BIH,20.83,5.22,5.17,20.83,5.22,,,2
645,Nawaf Boushal,DF,KSA,21.37,5.4,5.17,21.37,5.4,,,14
646,Jassem Gaber,DF,QAT,21.76,5.54,5.14,21.76,5.54,,,13
647,Husam Abu Dahab,DF,JOR,20.8,5.23,5.11,20.8,5.23,,,12
648,Khalil Ayari,FW,TUN,20.67,5.19,5.1,20.67,5.19,,,4
649,Mohammad Al-Dawoud,MF,JOR,20.82,5.24,5.1,20.82,5.24,,,4
650,Tani Oluwaseyi,FW,CAN,20.6,5.17,5.09,20.6,7.17,20.6,7.17,3
651,Ramón Sosa,MF,PAR,20.6,5.17,5.09,20.6,7.17,20.6,7.17,19
652,Antoine Mendy,DF,SEN,20.6,5.17,5.09,20.6,7.17,20.6,7.17,4
653,Carlos Acevedo,GK,MEX,20.81,5.25,5.06,20.81,5.25,,,1
654,Hassan Kadesh,DF,KSA,20.82,5.26,5.04,20.82,5.26,,,15
655,Mathew Ryan (captain),GK,AUS,21.47,5.48,5.03,21.47,5.48,,,14
656,Maxime Crépeau,GK,CAN,21.12,5.37,5.01,21.12,5.37,,,3
657,Johny Placide (captain),GK,HAI,20.58,5.19,5.01,20.58,5.19,,,10
658,Ahmed Al-Kassar,GK,KSA,20.66,5.22,5.0,20.66,5.22,,,6
659,Abduvohid Nematov,GK,UZB,20.97,5.35,4.92,20.97,5.35,,,3
660,Alexandre Pierre,GK,HAI,20.54,5.22,4.88,20.54,5.22,,,4
661,Jacen Russell-Rowe,FW,CAN,26.82,7.34,4.8,,,26.82,7.34,0
662,Hiroki Itō,DF,JPN,26.82,7.34,4.8,26.82,7.34,,,9
663,Yasin Ayari,MF,SWE,26.82,7.34,4.8,26.82,7.34,,,9
664,Senne Lammens,GK,BEL,26.82,7.34,4.8,26.82,7.34,,,2
665,Zeno Debast,DF,BEL,26.82,7.34,4.8,26.82,7.34,,,8
666,Alexis Saelemaekers,FW,BEL,26.82,7.34,4.8,26.82,7.34,,,10
667,Yéremy Pino,FW,ESP,26.82,7.34,4.8,26.82,7.34,,,8
668,Darwin Núñez,FW,URU,26.82,7.34,4.8,26.82,7.34,,,15
669,Thelo Aasgaard,MF,NOR,26.82,7.34,4.8,26.82,7.34,,,6
670,Andreas Schjelderup,MF,NOR,26.82,7.34,4.8,26.82,7.34,,,9
671,Julian Ryerson,DF,NOR,26.82,7.34,4.8,26.82,7.34,,,12
672,Mohamed Amoura,FW,ALG,26.82,7.34,4.8,26.82,7.34,,,13
673,Yoane Wissa,FW,COD,26.82,7.34,4.8,26.82,7.34,,,11
674,Azizbek Amonov,FW,UZB,20.86,5.36,4.78,20.86,5.36,,,4
675,Callan Elliot,DF,NZL,20.64,5.29,4.77,20.64,5.29,,,4
676,Ramin Rezaeian,DF,IRN,21.26,5.5,4.76,21.26,5.5,,,10
677,Tim Ream,DF,USA,20.28,5.19,4.71,20.28,5.19,,,3
678,Ken Sema,MF,SWE,20.43,5.24,4.71,20.43,5.24,,,5
679,Martin Erlić,DF,CRO,19.38,4.89,4.71,23.21,5.33,16.82,7.34,3
680,Abdulaziz Hatem,MF,QAT,20.47,5.26,4.69,20.47,5.26,,,10
681,Ajdin Hrustic,FW,AUS,20.7,5.35,4.65,20.7,5.35,,,10
682,César Montes,DF,MEX,20.05,5.14,4.63,19.23,7.03,20.6,7.17,4
683,Seol Young-woo,DF,KOR,20.05,5.14,4.63,19.23,7.03,20.6,7.17,18
684,Jens Castrop,DF,KOR,20.05,5.14,4.63,19.23,7.03,20.6,7.17,2
685,Issa Diop,DF,MAR,20.05,5.14,4.63,19.23,7.03,20.6,7.17,4
686,Ché Adams,FW,SCO,20.05,5.14,4.63,19.23,7.03,20.6,7.17,8
687,John Stones,DF,ENG,20.05,5.14,4.63,19.23,7.03,20.6,7.17,4
688,Jonathan Osorio,MF,CAN,17.54,4.31,4.61,11.82,7.34,21.36,5.25,4
689,Oh Hyeon-gyu,FW,KOR,20.18,5.2,4.58,17.73,6.92,21.82,7.34,12
690,Deveron Fonville,DF,CUW,20.8,5.41,4.57,20.8,5.41,,,1
691,Joel Waterman,DF,CAN,20.37,5.3,4.47,20.37,5.3,,,2
692,Francis de Vries,DF,NZL,20.39,5.31,4.46,20.39,5.31,,,6
693,Yassin Fortuné,FW,HAI,20.12,5.24,4.4,20.12,5.24,,,4
694,Eray Cömert,DF,SUI,20.29,5.3,4.39,20.29,5.3,,,4
695,Fabián Balbuena,DF,PAR,20.56,5.4,4.36,20.56,5.4,,,10
696,Jacob Italiano,DF,AUS,20.23,5.29,4.36,20.23,5.29,,,3
697,Prince Kwabena Adu,FW,GHA,18.98,4.89,4.31,22.23,5.34,16.82,7.34,4
698,Tete Yengi,FW,AUS,20.13,5.28,4.29,20.13,5.28,,,1
699,Mohamed Manai,FW,QAT,20.42,5.38,4.28,20.42,5.38,,,8
700,Omar Rekik,DF,TUN,19.91,5.22,4.25,19.91,5.22,,,3
701,Ricardo Adé,DF,HAI,19.73,5.18,4.19,19.73,5.18,,,14
702,Ousmane Diomande,DF,CIV,24.45,6.76,4.17,24.45,6.76,,,4
703,Willian Pacho,DF,ECU,24.45,6.76,4.17,24.45,6.76,,,20
704,Ehsan Hajsafi (captain),DF,IRN,19.77,5.2,4.17,19.77,5.2,,,5
705,Leonardo Balerdi,DF,ARG,24.45,6.76,4.17,,,24.45,6.76,0
706,Matheus Nunes,DF,POR,24.45,6.76,4.17,24.45,6.76,,,3
707,Luka Vušković,DF,CRO,24.45,6.76,4.17,24.45,6.76,,,5
708,Jean Michaël Seri,MF,CIV,20.21,5.36,4.13,20.21,5.36,,,5
709,Gilberto Mora,MF,MEX,19.45,5.12,4.09,17.73,6.92,20.6,7.17,3
710,Ermedin Demirović,FW,BIH,25.6,7.17,4.09,25.6,7.17,,,9
711,Waldemar Anton,DF,GER,25.6,7.17,4.09,25.6,7.17,,,5
712,Joshua Kimmich (captain),MF,GER,25.6,7.17,4.09,25.6,7.17,,,9
713,Denil Castillo,MF,ECU,19.45,5.12,4.09,17.73,6.92,20.6,7.17,2
714,Nilson Angulo,FW,ECU,25.6,7.17,4.09,25.6,7.17,,,6
715,Guus Til,MF,NED,19.45,5.12,4.09,17.73,6.92,20.6,7.17,30
716,Shōgo Taniguchi,DF,JPN,19.87,5.26,4.09,19.87,5.26,,,14
717,Tsuyoshi Watanabe,DF,JPN,19.45,5.12,4.09,17.73,6.92,20.6,7.17,8
718,Arthur Theate,DF,BEL,25.6,7.17,4.09,25.6,7.17,,,10
719,David Raya,GK,ESP,25.6,7.17,4.09,25.6,7.17,,,2
720,Mikel Merino,MF,ESP,25.6,7.17,4.09,25.6,7.17,,,8
721,Exequiel Palacios,MF,ARG,25.6,7.17,4.09,25.6,7.17,,,12
722,Kevin Danso,DF,AUT,25.6,7.17,4.09,25.6,7.17,,,8
723,Diogo Dalot,DF,POR,25.6,7.17,4.09,25.6,7.17,,,5
724,Noah Sadiki,MF,COD,25.6,7.17,4.09,25.6,7.17,,,8
725,Daniel Muñoz,DF,COL,25.6,7.17,4.09,25.6,7.17,,,17
726,Richard Ríos,MF,COL,25.6,7.17,4.09,25.6,7.17,,,19
727,James Trafford,GK,ENG,25.6,7.17,4.09,25.6,7.17,,,2
728,Mahmud Abunada,GK,QAT,20.01,5.31,4.08,20.01,5.31,,,5
729,Wilguens Paugain,DF,HAI,19.68,5.21,4.05,19.68,5.21,,,5
730,Michael Boxall,DF,NZL,20.23,5.4,4.03,20.23,5.4,,,5
731,Axel Witsel,MF,BEL,18.38,4.79,4.01,22.54,5.28,15.6,7.17,6
732,Orlando Mosquera,GK,PAN,19.46,5.15,4.01,19.46,5.15,,,10
733,Ayoub Al-Oui,DF,QAT,20.1,5.39,3.93,20.1,5.39,,,6
734,Sipho Chaine,GK,RSA,19.96,5.35,3.91,19.96,5.35,,,1
735,Umar Eshmurodov,DF,UZB,19.51,5.2,3.91,19.51,5.2,,,10
736,Aníbal Godoy (captain),MF,PAN,16.6,4.24,3.88,10.6,7.17,20.6,5.21,10
737,Tahsin Jamshid,FW,QAT,19.62,5.27,3.81,19.62,5.27,,,3
738,Nuno da Costa,FW,CPV,20.02,5.42,3.76,20.02,5.42,,,4
739,Craig Gordon,GK,SCO,19.65,5.34,3.63,19.65,5.34,,,3
740,Oliver Baumann,GK,GER,19.56,5.31,3.63,19.56,5.31,,,9
741,Nabil Emad,MF,EGY,19.6,5.33,3.61,19.6,5.33,,,2
742,Hossein Hosseini,GK,IRN,19.41,5.28,3.57,19.41,5.28,,,4
743,Vladimír Darida,MF,CZE,19.27,5.25,3.52,19.27,5.25,,,3
744,João Paulo,DF,CPV,19.96,5.5,3.46,19.96,5.5,,,12
745,Dylan Batubinsika,DF,COD,19.18,5.26,3.4,19.18,5.26,,,5
746,Richie Laryea,DF,CAN,19.53,5.38,3.39,19.53,5.38,,,5
747,Ahmed Basil,GK,IRQ,19.03,5.25,3.28,19.03,5.25,,,11
748,Milad Mohammadi,DF,IRN,16.41,4.41,3.18,12.84,7.53,18.79,5.38,17
749,Luca Zidane,GK,ALG,19.02,5.28,3.18,19.02,5.28,,,3
750,Santiago Giménez,FW,MEX,24.23,7.03,3.14,24.23,7.03,,,1
751,Thapelo Maseko,FW,RSA,19.19,5.35,3.14,19.19,5.35,,,2
752,Promise David,FW,CAN,24.23,7.03,3.14,24.23,7.03,,,2
753,Kerim Alajbegović,MF,BIH,24.23,7.03,3.14,24.23,7.03,,,9
754,Samir El Mourabet,MF,MAR,24.23,7.03,3.14,24.23,7.03,,,4
755,Malik Tillman,MF,USA,24.23,7.03,3.14,24.23,7.03,,,4
756,Orkun Kökçü,MF,TUR,24.23,7.03,3.14,24.23,7.03,,,9
757,Mats Wieffer,DF,NED,24.23,7.03,3.14,24.23,7.03,,,2
758,Maximiliano Araújo,MF,URU,24.23,7.03,3.14,24.23,7.03,,,17
759,Pape Matar Sarr,MF,SEN,24.23,7.03,3.14,24.23,7.03,,,13
760,El Hadji Malick Diouf,DF,SEN,24.23,7.03,3.14,24.23,7.03,,,7
761,David Affengruber,DF,AUT,24.23,7.03,3.14,24.23,7.03,,,1
762,Carney Chukwuemeka,MF,AUT,24.23,7.03,3.14,24.23,7.03,,,3
763,Marten de Roon,MF,NED,17.34,4.8,2.94,19.95,5.34,15.6,7.17,1
764,Mathieu Choinière,MF,CAN,19.07,5.4,2.87,19.07,5.4,,,3
765,Eloy Room,GK,CUW,19.04,5.39,2.87,19.04,5.39,,,13
766,Vozinha,GK,CPV,18.59,5.25,2.84,18.59,5.25,,,12
767,Derrick Luckassen,DF,GHA,18.7,5.37,2.59,18.7,5.37,,,1
768,Ramy Rabia,DF,EGY,18.63,5.36,2.55,18.63,5.36,,,10
769,Fahad Talib,GK,IRQ,18.43,5.33,2.44,18.43,5.33,,,2
770,Ahmed Yahya,DF,IRQ,18.16,5.3,2.26,18.16,5.3,,,5
771,Ronwen Williams (captain),GK,RSA,18.13,5.31,2.2,18.13,5.31,,,12
772,Nour Bani Attiah,GK,JOR,17.92,5.29,2.05,17.92,5.29,,,2
773,Kim Min-jae,DF,KOR,22.73,6.92,1.97,22.73,6.92,,,14
774,Lee Kang-in,MF,KOR,22.73,6.92,1.97,22.73,6.92,,,18
775,Marquinhos,DF,BRA,22.73,6.92,1.97,22.73,6.92,,,20
776,Luiz Henrique,FW,BRA,22.73,6.92,1.97,22.73,6.92,,,13
777,David Raum,DF,GER,22.73,6.92,1.97,22.73,6.92,,,9
778,Amad Diallo,FW,CIV,22.73,6.92,1.97,,,22.73,6.92,0
779,Isak Hien,DF,SWE,22.73,6.92,1.97,22.73,6.92,,,8
780,Gavi,MF,ESP,22.73,6.92,1.97,22.73,6.92,,,2
781,Ronald Araújo,DF,URU,22.73,6.92,1.97,22.73,6.92,,,10
782,Facundo Medina,DF,ARG,22.73,6.92,1.97,22.73,6.92,,,6
783,Trevor Doornbusch,GK,CUW,17.74,5.27,1.93,17.74,5.27,,,2
784,Patrick Beach,GK,AUS,17.68,5.26,1.9,17.68,5.26,,,1
785,Timothy Fayulu,GK,COD,17.65,5.26,1.87,17.65,5.26,,,1
786,Ricardo Goss,GK,RSA,17.64,5.26,1.86,17.64,5.26,,,1
787,Gastón Olveira,GK,PAR,17.64,5.26,1.86,17.64,5.26,,,1
788,Fernando Muslera,GK,URU,17.64,5.26,1.86,17.64,5.26,,,1
789,Ante Budimir,FW,CRO,17.84,5.43,1.55,17.84,7.53,17.84,7.53,45
790,Gustavo Caballero,MF,PAR,16.43,4.97,1.52,21.81,5.18,12.84,7.53,2
791,Borja Iglesias,FW,ESP,17.91,5.49,1.44,16.82,7.34,18.64,7.74,43
792,Cédric Bakambu,FW,COD,16.42,5.14,1.0,18.64,7.74,14.94,6.84,12
793,Sherzod Esanov,MF,UZB,17.32,5.49,0.85,17.32,5.49,,,1
794,Bremer,DF,BRA,21.13,6.83,0.64,21.13,6.83,,,3
795,Tyler Adams,MF,USA,21.13,6.83,0.64,21.13,6.83,,,2
796,Antonee Robinson,DF,USA,21.13,6.83,0.64,21.13,6.83,,,4
797,Diego Gómez,MF,PAR,21.13,6.83,0.64,21.13,6.83,,,17
798,Barış Alper Yılmaz,FW,TUR,21.13,6.83,0.64,21.13,6.83,,,7
799,Frenkie de Jong,MF,NED,21.13,6.83,0.64,21.13,6.83,,,9
800,Adrien Rabiot,MF,FRA,21.13,6.83,0.64,21.13,6.83,,,6
801,Mamadou Sarr,DF,SEN,21.13,6.83,0.64,21.13,6.83,,,4
802,Kristoffer Ajer,DF,NOR,21.13,6.83,0.64,21.13,6.83,,,12
803,Paul Wanner,MF,AUT,21.13,6.83,0.64,21.13,6.83,,,3
804,Guillermo Martínez,FW,MEX,16.88,5.43,0.59,14.23,7.03,18.64,7.74,75
805,Yaimar Medina,DF,ECU,16.33,5.26,0.55,15.6,7.17,16.82,7.34,4
806,Anas Badawi,DF,JOR,16.9,5.45,0.55,16.9,5.45,,,1
807,Lenny Joseph,FW,HAI,16.09,5.21,0.46,16.82,7.34,15.6,7.17,2
808,Taha Ali,FW,SWE,16.09,5.21,0.46,16.82,7.34,15.6,7.17,1
809,Édouard Mendy,GK,SEN,16.4,5.32,0.44,14.23,7.03,17.84,7.53,10
810,Bae Jun-ho,MF,KOR,15.99,5.23,0.3,18.64,7.74,14.23,7.03,10
811,César Samudio,GK,PAN,16.52,5.41,0.29,16.52,5.41,,,1
812,Akram Afif,FW,QAT,22.84,7.53,0.25,22.84,7.53,,,21
813,Jean-Ricner Bellegarde,MF,HAI,22.84,7.53,0.25,22.84,7.53,,,10
814,Miguel Almirón,MF,PAR,22.84,7.53,0.25,22.84,7.53,,,19
815,Keito Nakamura,MF,JPN,22.84,7.53,0.25,22.84,7.53,,,17
816,Hans Vanaken,MF,BEL,22.84,7.53,0.25,22.84,7.53,,,9
817,Mehdi Ghayedi,FW,IRN,22.84,7.53,0.25,22.84,7.53,,,14
818,Riyad Mahrez (captain),FW,ALG,22.84,7.53,0.25,22.84,7.53,,,11
819,Marcel Sabitzer,MF,AUT,22.84,7.53,0.25,22.84,7.53,,,11
820,Romano Schmid,MF,AUT,22.84,7.53,0.25,22.84,7.53,,,11
821,João Cancelo,DF,POR,22.84,7.53,0.25,22.84,7.53,,,7
822,Caleb Yirenkyi,MF,GHA,22.84,7.53,0.25,22.84,7.53,,,8
823,Rani Khedira,MF,TUN,15.6,5.17,0.09,15.6,7.17,15.6,7.17,3
824,Abdul Rahman Baba,DF,GHA,15.6,5.17,0.09,15.6,7.17,15.6,7.17,1
825,Granit Xhaka (captain),MF,SUI,21.82,7.34,-0.2,21.82,7.34,,,9
826,Casemiro (captain),MF,BRA,21.82,7.34,-0.2,21.82,7.34,,,12
827,Kieran Tierney,DF,SCO,21.82,7.34,-0.2,21.82,7.34,,,6
828,Ben Gannon-Doak,MF,SCO,21.82,7.34,-0.2,21.82,7.34,,,8
829,Isidro Pitta,FW,PAR,21.82,7.34,-0.2,21.82,7.34,,,5
830,Kendry Páez,MF,ECU,21.82,7.34,-0.2,21.82,7.34,,,15
831,Teun Koopmeiners,MF,NED,21.82,7.34,-0.2,21.82,7.34,,,3
832,Daichi Kamada,MF,JPN,21.82,7.34,-0.2,21.82,7.34,,,17
833,Kento Shiogai,FW,JPN,21.82,7.34,-0.2,21.82,7.34,,,2
834,Patrick Berg,MF,NOR,21.82,7.34,-0.2,21.82,7.34,,,11
835,Stefan Posch,DF,AUT,21.82,7.34,-0.2,21.82,7.34,,,10
836,Musa Al-Taamari,FW,JOR,21.82,7.34,-0.2,21.82,7.34,,,17
837,Davinson Sánchez,DF,COL,21.82,7.34,-0.2,21.82,7.34,,,16
838,Jorge Carrascal,MF,COL,21.82,7.34,-0.2,21.82,7.34,,,10
839,Ross Stewart,FW,SCO,14.84,5.06,-0.34,13.71,6.68,15.6,7.17,1
840,Matt Freese,GK,USA,15.05,5.14,-0.37,14.23,7.03,15.6,7.17,2
841,Grant Hanley,DF,SCO,13.28,4.64,-0.64,11.82,7.34,14.26,5.99,6
842,Roberto Alvarado,FW,MEX,20.6,7.17,-0.91,20.6,7.17,,,6
843,David Zima,DF,CZE,20.6,7.17,-0.91,20.6,7.17,,,3
